2022-02-13,The King's Man,2021,6.5,yes
2022-03-04,The Matrix Resurrections,2021,3.5,yes
2022-03-11,The Adam Project,2022,7,yes
2022-03-13,King Richard,2021,7.5,yes
2022-03-15,Jolt,2021,4.5,yes
2022-04-02,Turning Red,2022,5,yes
2022-04-03,Death on the Nile,2022,6.5,yes
2022-04-03,Warrior,2011,7.5,no
2022-04-10,The Contractor,2022,5,yes
2022-04-12,Greenland,2020,5.5,yes
2022-04-15,Jackie Brown,1997,8,yes
2022-04-15,Reservoir Dogs,1992,8,no
2022-04-15,Pulp Fiction,1994,8,no
2022-04-16,Kill Bill: Vol. 1,2003,7,no
2022-04-16,Kill Bill: Vol. 2,2004,7,no
2022-04-16,Inglourious Basterds,2009,8,no
2022-04-18,Django Unchained,2012,8,no
2022-04-18,The Hateful Eight,2015,7.5,no
2022-04-18,Once Upon a Time... In Hollywood,2019,6.5,no
2022-04-24,The Batman,2022,6.5,yes
2022-04-25,Uncharted,2022,6.5,yes
2022-04-27,The King's Daughter,2022,3,yes
2022-05-13,Sonic the Hedgehog 2,2022,4.5,yes
2022-05-19,A Perfect Pairing,2022,6,yes
2022-05-21,Catch Me If You Can,2002,9,no
2022-05-22,The Gentlemen,2019,8,yes
2022-05-26,Moonfall,2022,6,yes
2022-05-29,Fighting with My Family,2019,6,yes
2022-05-29,Super 8,2011,6.5,no
2022-06-05,Bubble,2022,6.5,yes
2022-06-08,Hustle,2022,6,yes
2022-06-10,Interceptor,2022,5,yes
2022-06-21,Fantastic Beasts: The Secrets of Dumbledore,2022,6,yes
2022-06-22,Everything Everywhere All at Once,2022,8.5,yes
2022-06-23,Spiderhead,2022,5,yes
2022-06-24,Doctor Strange in the Multiverse of Madness,2022,6.5,yes
2022-06-28,Love & Gelato,2022,6,yes
2022-07-20,Blue Crush,2002,6.5,yes
2022-07-20,Jurassic World Dominion,2022,5,yes
2022-07-23,The Gray Man,2022,7,yes
2022-07-23,The Sea Beast,2022,7,yes
2022-07-25,Yaksha: Ruthless Operations,2022,5.5,yes
2022-07-30,Ford v Ferrari,2019,7.5,no
2022-08-13,Prey,2022,7.5,yes
2022-08-13,Luck,2022,5,yes
2022-08-13,Day Shift,2022,4,yes
2022-08-14,Toscana,2022,6,yes
2022-08-19,Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,4,yes
2022-08-20,The Pirates: The Last Royal Treasure,2022,6,yes
2022-08-21,The Secret: Dare to Dream,2020,7,yes
2022-08-23,The Secret Life of Walter Mitty,2013,7,no
